modelCoef,term
-7.214757831874671,rule
-4.052617368112774,regulations
-3.2788118471601573,regulation
-2.926108201960619,action
-2.9112453224868258,rulemaking
-2.8800768907478607,ad
-2.847119669651406,document
-2.582782757812487,rules
-2.1789651337551885,we
-2.1383101038403156,necessary
-2.086218419576533,final
-2.0644022818199543,air
-2.035843564570747,area
-2.026374808604396,amend
-1.9029046704285406,sip
-1.901173703394717,airworthiness
-1.8934204824245395,these
-1.8834536656719338,would
-1.868504259552525,bridge
-1.8652678173528736,proposes
-1.8055293336249763,amending
-1.7705032867215098,also
-1.759732244248326,coast
-1.7040837984825945,deviation
-1.678192437592454,unsafe
-1.6298306608219713,epa
-1.6086038307371482,guard
-1.5474567094243508,nmfs
-1.538128596058943,airplanes
-1.5356369351866794,condition
-1.5304677152210429,establishes
-1.5277764776950378,vessels
-1.4886152512798865,requirements
-1.46112977840856,temporary
-1.4480474277506803,reflect
-1.4418246621545592,residues
-1.4090494234644948,airspace
-1.3901983931228135,directive
-1.3703253639187787,mile
-1.3624199356689866,standards
-1.3542038878465794,which
-1.3407051388378055,proposing
-1.2750914010243681,amends
-1.2663853653953518,schedule
-1.2630913189423636,model
-1.2509400140583462,class
-1.2457122545464074,establish
-1.2225233510802467,clean
-1.1909889371237403,implement
-1.1872450938054062,zone
1.0345220655910357,individuals
1.045999093200212,act
1.0590461279213481,an
1.0665373754010892,purpose
1.0690582919757596,request
1.070689593253721,office
1.0856258781984218,be
1.0919096426683876,dated
1.111826891329523,comment
1.1328355350716404,section
1.1435484032268208,agencies
1.1462085063421057,nuclear
1.1570274261969085,development
1.1766776040470135,renew
1.1925691525384239,decision
1.2006563242606096,following
1.2008809451539773,duty
1.205707934400973,motor
1.2103826343864377,hold
1.2847097105887118,project
1.3022209343144373,determinations
1.305892261133793,publishing
1.3251610006637853,land
1.356069766353878,availability
1.3800801905908215,review
1.402520801252701,has
1.419505750550626,below
1.454179716225006,draft
1.458533786497442,omb
1.4721004013971175,department
1.505410282987175,application
1.5289492830535845,announces
1.5365817799623644,will
1.5640405151503574,given
1.667017334155941,applications
1.7153994106746147,accordance
1.754198373615129,council
1.9261703642185646,1995
2.062853259004534,hereby
2.117362290792481,reduction
2.250554080310507,committee
2.306989480678356,us
2.4247529564288755,paperwork
2.5329809022779606,commerce
2.6279031682610667,public
2.6388563860900636,advisory
2.647190321930239,information
2.7151315076809746,collection
2.8541123804866855,meeting
5.68372740884478,notice
